Date,Singapore,Australia,Canada,Germany,Japan,Switzerland,U.K.,U.S. NASDAQ,U.S.,France,Netherlands,Sweden,Italy,China,Chile,Indonesia,Philippines,Poland,US SmallCap,Malaysia,Taiwan,Mexico,Korea,Brazil,South Africa,Denmark,India,China,Hong Kong,Thailand,Turkey,Spain,Vietnam,Saudi Arabia
4/28/06,1249.1982,1440.2152,1791.9984,1720.1598,3337.8455,3812.0009,3092.5682,2476.6383,4303.9928,1849.2546,2253.0321,5997.0062,592.4575,38.5571,1761.0722,0.305,10.7465,852.7889,888.1322,132.0197,272.249,5476.2911,0.5106,2685.5967,138.3616,4190.9841,13.1539,38.5524,1642.2614,10.8526,698388.3899,609.5454,,
5/31/06,1148.5332,1356.7979,1744.5981,1629.5601,3129.5694,3688.2272,3050.3481,2325.5945,4180.1246,1792.9432,2146.8394,5590.8749,586.1743,36.2609,1642.0506,0.2618,10.7882,751.0044,838.2467,129.1564,253.9926,4858.4179,0.4714,2249.4737,116.4521,4005.9828,11.2641,36.2741,1551.2139,9.8818,505662.941,592.3033,,
6/30/06,1175.962,1370.5921,1717.1545,1610.8073,3093.745,3681.9449,3092.6012,2319.4877,4185.6667,1804.9427,2144.1916,5609.0802,584.3818,36.949,1616.0472,0.2626,10.0499,753.2799,843.6073,125.468,247.9156,4982.2156,0.464,2389.1108,112.2069,3963.0238,11.5149,37.0078,1555.4125,9.4565,468566.4251,599.9373,,
7/31/06,1178.3103,1388.2455,1722.2017,1604.9681,3076.5282,3796.0658,3166.5869,2233.9032,4211.4994,1815.2575,2196.8313,5517.9401,587.0485,37.9241,1621.7369,0.2794,11.5563,877.7588,816.1288,128.9421,233.9346,5324.4897,0.4628,2414.2808,112.9482,3947.6791,11.5257,38.0046,1582.5966,9.786,504871.7658,614.6132,,
8/31/06,1222.9725,1432.6486,1791.5919,1663.275,3122.3148,3897.6688,3275.4002,2334.78,4311.7104,1875.0355,2286.5549,5728.1436,611.3217,38.7464,1679.1745,0.2964,11.4718,810.0287,840.2673,132.4258,238.8846,5511.1132,0.4742,2402.2913,112.5788,4203.4118,12.6105,38.8559,1638.6475,9.9768,537021.1949,634.42,,
9/29/06,1261.5761,1419.4045,1738.0284,1688.3293,3058.3465,3953.3683,3265.2296,2415.7022,4422.7185,1891.2584,2357.8962,5994.884,610.4318,39.8986,1747.8321,0.3114,12.824,788.6456,847.3358,133.1566,248.6467,5780.4353,0.4889,2357.3586,105.5587,4305.5832,13.6042,40.0911,1655.2123,10.0964,512620.7526,668.2864,,
10/31/06,1366.0216,1539.1893,1821.4249,1772.9001,3111.4561,4059.0646,3431.3371,2532.1003,4566.8188,1942.1038,2367.15,6376.456,633.4371,42.6266,1873.6239,0.3224,13.7003,860.7351,896.1193,138.7514,250.7404,6176.3848,0.4868,2564.0896,117.0977,4494.558,14.5084,42.7656,1686.7562,10.8843,591053.2937,717.0206,,
11/30/06,1465.3159,1601.9485,1873.9044,1854.3836,3132.8709,4188.791,3536.7937,2604.4838,4653.668,2015.1236,2427.1596,6633.9481,667.2363,47.2789,1988.5212,0.3544,14.0791,949.7296,919.5273,154.2528,276.9771,6453.2135,0.514,2714.4874,126.6422,4787.9872,15.3352,47.4226,1783.9914,11.4047,547884.6546,748.5031,586.0298,
12/29/06,1556.5344,1657.3175,1861.4994,1931.0266,3209.2823,4263.5246,3630.0117,2588.4202,4718.544,2085.8894,2520.745,7185.9167,680.8195,54.1443,2075.5132,0.3724,15.4295,966.6084,922.5565,161.2817,280.81,6841.1657,0.5212,2935.691,136.6966,4998.5075,15.8157,54.3007,1896.3373,10.3108,578286.805,760.8271,866.6235,
1/31/07,1618.0208,1659.3374,1856.4258,1954.934,3236.2739,4343.2896,3625.9477,2641.1353,4789.8954,2079.4106,2527.4412,7275.868,680.401,51.8491,2165.0188,0.3547,17.0024,1004.85,937.9887,178.0712,273.108,7011.6053,0.4939,2966.0278,136.4571,5135.0886,16.22,52.2116,1927.2938,9.9898,621198.0217,773.6914,1287.037,
2/28/07,1629.2774,1726.4954,1869.9977,1972.7004,3365.8839,4258.3229,3636.4013,2592.3649,4696.2303,2080.0545,2530.686,7053.0813,673.0586,50.9381,2135.461,0.3423,15.9679,948.196,930.5236,178.9993,277.9278,6739.2133,0.5147,2882.7227,136.8855,5144.3359,14.8199,51.3153,1877.8218,10.4956,622928.8604,768.7644,1293.248,
3/30/07,1719.7375,1828.4619,1921.8803,2059.0943,3304.2238,4358.3303,3795.7204,2599.7712,4748.6852,2144.0854,2707.6723,7460.1857,686.8784,52.8925,2220.0684,0.3649,16.8101,1057.1969,940.4915,191.1094,271.8049,7247.6869,0.5287,3115.3018,144.3116,5362.5251,15.2825,53.2975,1907.441,10.6497,661176.0203,791.8023,1100.568,
